WP, 07, 2013070600,   , BEST,   0, 199N, 1562E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 
WP, 07, 2013070606,   , BEST,   0, 198N, 1549E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 
WP, 07, 2013070612,   , BEST,   0, 198N, 1536E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 
WP, 07, 2013070618,   , BEST,   0, 198N, 1521E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 
WP, 07, 2013070700,   , BEST,   0, 200N, 1506E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 
WP, 07, 2013070706,   , BEST,   0, 197N, 1494E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 1008,  120,  50,   0,   0,   W,   0,    ,   0,   0,     INVEST, S, 
WP, 07, 2013070712,   , BEST,   0, 193N, 1483E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1009,  120,  45,   0,   0,   W,   0,    ,   0,   0,     INVEST, S, 
WP, 07, 2013070718,   , BEST,   0, 191N, 1471E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1009,  135,  45,   0,   0,   W,   0,    ,   0,   0,      SEVEN, S, 
WP, 07, 2013070800,   , BEST,   0, 192N, 1455E,  35,  996, TS,  34, NEQ,   25,   25,   25,   25, 1009,  170,  25,   0,   0,   W,   0,    ,   0,   0,      SEVEN, S, 
WP, 07, 2013070806,   , BEST,   0, 191N, 1439E,  45,  989, TS,  34, NEQ,   35,   30,   30,   35, 1006,  185,  25,   0,   0,   W,   0,    ,   0,   0,     SOULIK, M, 
WP, 07, 2013070812,   , BEST,   0, 193N, 1427E,  60,  978, TS,  34, NEQ,   60,   50,   40,   60, 1006,  180,  25,   0,   0,   W,   0,    ,   0,   0,     SOULIK, D, 
WP, 07, 2013070812,   , BEST,   0, 193N, 1427E,  60,  978, TS,  50, NEQ,   25,   25,   25,   25, 1006,  180,  25,   0,   0,   W,   0,    ,   0,   0,     SOULIK, D, 
WP, 07, 2013070818,   , BEST,   0, 195N, 1415E,  70,  970, TY,  34, NEQ,   90,   80,   70,   85, 1006,  180,  25,   0,   0,   W,   0,    ,   0,   0,     SOULIK, D, 
WP, 07, 2013070818,   , BEST,   0, 195N, 1415E,  70,  970, TY,  50, NEQ,   35,   30,   30,   30, 1006,  180,  25,   0,   0,   W,   0,    ,   0,   0,     SOULIK, D, 
WP, 07, 2013070900,   , BEST,   0, 196N, 1404E,  75,  967, TY,  34, NEQ,  110,  105,   95,  110, 1004,  185,  20,   0,   0,   W,   0,    ,   0,   0,     SOULIK, D, 
WP, 07, 2013070900,   , BEST,   0, 196N, 1404E,  75,  967, TY,  50, NEQ,   45,   40,   40,   40, 1004,  185,  20,   0,   0,   W,   0,    ,   0,   0,     SOULIK, D, 
WP, 07, 2013070900,   , BEST,   0, 196N, 1404E,  75,  967, TY,  64, NEQ,   25,   25,   25,   25, 1004,  185,  20,   0,   0,   W,   0,    ,   0,   0,     SOULIK, D, 
WP, 07, 2013070906,   , BEST,   0, 199N, 1394E,  85,  959, TY,  34, NEQ,  130,  120,  120,  130, 1005,  190,  27,   0,  45,   W,   0,    ,   0,   0,     SOULIK, D, 
WP, 07, 2013070906,   , BEST,   0, 199N, 1394E,  85,  959, TY,  50, NEQ,   55,   55,   55,   55, 1005,  190,  27,   0,  45,   W,   0,    ,   0,   0,     SOULIK, D, 
WP, 07, 2013070906,   , BEST,   0, 199N, 1394E,  85,  959, TY,  64, NEQ,   35,   35,   35,   35, 1005,  190,  27,   0,  45,   W,   0,    ,   0,   0,     SOULIK, D, 
WP, 07, 2013070912,   , BEST,   0, 203N, 1383E, 100,  948, TY,  34, NEQ,  165,  150,  150,  160, 1005,  190,  20,   0,  30,   W,   0,    ,   0,   0,     SOULIK, D, 
WP, 07, 2013070912,   , BEST,   0, 203N, 1383E, 100,  948, TY,  50, NEQ,   80,   75,   75,   80, 1005,  190,  20,   0,  30,   W,   0,    ,   0,   0,     SOULIK, D, 
WP, 07, 2013070912,   , BEST,   0, 203N, 1383E, 100,  948, TY,  64, NEQ,   50,   50,   50,   50, 1005,  190,  20,   0,  30,   W,   0,    ,   0,   0,     SOULIK, D, 
WP, 07, 2013070918,   , BEST,   0, 207N, 1371E, 115,  937, TY,  34, NEQ,  180,  160,  160,  175, 1004,  190,  15,   0,  20,   W,   0,    ,   0,   0,     SOULIK, D, 
WP, 07, 2013070918,   , BEST,   0, 207N, 1371E, 115,  937, TY,  50, NEQ,   80,   75,   75,   80, 1004,  190,  15,   0,  20,   W,   0,    ,   0,   0,     SOULIK, D, 
WP, 07, 2013070918,   , BEST,   0, 207N, 1371E, 115,  937, TY,  64, NEQ,   50,   45,   45,   50, 1004,  190,  15,   0,  20,   W,   0,    ,   0,   0,     SOULIK, D, 
WP, 07, 2013071000,   , BEST,   0, 211N, 1359E, 125,  929, TY,  34, NEQ,  180,  165,  160,  175, 1004,  200,  17,   0,  25,   W,   0,    ,   0,   0,     SOULIK, D, 
WP, 07, 2013071000,   , BEST,   0, 211N, 1359E, 125,  929, TY,  50, NEQ,   95,   85,   85,   95, 1004,  200,  17,   0,  25,   W,   0,    ,   0,   0,     SOULIK, D, 
WP, 07, 2013071000,   , BEST,   0, 211N, 1359E, 125,  929, TY,  64, NEQ,   65,   55,   55,   65, 1004,  200,  17,   0,  25,   W,   0,    ,   0,   0,     SOULIK, D, 
WP, 07, 2013071006,   , BEST,   0, 215N, 1347E, 125,  929, TY,  34, NEQ,  180,  165,  160,  180, 1004,  200,  20,   0,  30,   W,   0,    ,   0,   0,     SOULIK, D, 
WP, 07, 2013071006,   , BEST,   0, 215N, 1347E, 125,  929, TY,  50, NEQ,   95,   85,   85,   95, 1004,  200,  20,   0,  30,   W,   0,    ,   0,   0,     SOULIK, D, 
WP, 07, 2013071006,   , BEST,   0, 215N, 1347E, 125,  929, TY,  64, NEQ,   65,   55,   55,   65, 1004,  200,  20,   0,  30,   W,   0,    ,   0,   0,     SOULIK, D, 
WP, 07, 2013071012,   , BEST,   0, 218N, 1335E, 125,  929, TY,  34, NEQ,  180,  165,  160,  180, 1004,  200,  17,   0,  25,   W,   0,    ,   0,   0,     SOULIK, D, 
WP, 07, 2013071012,   , BEST,   0, 218N, 1335E, 125,  929, TY,  50, NEQ,   95,   85,   85,   95, 1004,  200,  17,   0,  25,   W,   0,    ,   0,   0,     SOULIK, D, 
