WP, 26, 2013101512,   , BEST,   0, 140N, 1484E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 1011,  170,  45,   0,   0,   W,   0,    ,   0,   0,     INVEST, S, 
WP, 26, 2013101518,   , BEST,   0, 136N, 1468E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 1008,  170,  45,   0,   0,   W,   0,    ,   0,   0,     INVEST, S, 
WP, 26, 2013101600,   , BEST,   0, 127N, 1451E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1008,  170,  45,   0,   0,   W,   0,    ,   0,   0,  TWENTYSIX, S, 
WP, 26, 2013101606,   , BEST,   0, 122N, 1441E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1008,  180,  45,   0,   0,   W,   0,    ,   0,   0,  TWENTYSIX, S, 
WP, 26, 2013101612,   , BEST,   0, 116N, 1434E,  40,  993, TS,  34, NEQ,   50,   50,   50,   50, 1008,  190,  45,   0,   0,   W,   0,    ,   0,   0,  TWENTYSIX, S, 
WP, 26, 2013101618,   , BEST,   0, 109N, 1432E,  55,  982, TS,  34, NEQ,  110,  115,  100,  105, 1008,  190,  20,   0,   0,   W,   0,    ,   0,   0,  FRANCISCO, S, 
WP, 26, 2013101618,   , BEST,   0, 109N, 1432E,  55,  982, TS,  50, NEQ,   30,   30,   30,   30, 1008,  190,  20,   0,   0,   W,   0,    ,   0,   0,  FRANCISCO, S, 
WP, 26, 2013101700,   , BEST,   0, 110N, 1428E,  65,  974, TY,  34, NEQ,  110,  115,  110,  110, 1008,  190,  12,   0,  15,   W,   0,    ,   0,   0,  FRANCISCO, S, 
WP, 26, 2013101700,   , BEST,   0, 110N, 1428E,  65,  974, TY,  50, NEQ,   30,   30,   30,   30, 1008,  190,  12,   0,  15,   W,   0,    ,   0,   0,  FRANCISCO, S, 
WP, 26, 2013101700,   , BEST,   0, 110N, 1428E,  65,  974, TY,  64, NEQ,   15,   15,   15,   15, 1008,  190,  12,   0,  15,   W,   0,    ,   0,   0,  FRANCISCO, S, 
WP, 26, 2013101706,   , BEST,   0, 114N, 1427E,  80,  963, TY,  34, NEQ,  110,  115,  125,  100, 1008,  190,  15,   0,  20,   W,   0,    ,   0,   0,  FRANCISCO, S, 
WP, 26, 2013101706,   , BEST,   0, 114N, 1427E,  80,  963, TY,  50, NEQ,   45,   45,   40,   40, 1008,  190,  15,   0,  20,   W,   0,    ,   0,   0,  FRANCISCO, S, 
WP, 26, 2013101706,   , BEST,   0, 114N, 1427E,  80,  963, TY,  64, NEQ,   20,   20,   20,   20, 1008,  190,  15,   0,  20,   W,   0,    ,   0,   0,  FRANCISCO, S, 
WP, 26, 2013101712,   , BEST,   0, 120N, 1429E,  95,  952, TY,  34, NEQ,  110,  130,  125,  100, 1008,  190,  15,   0,  20,   W,   0,    ,   0,   0,  FRANCISCO, D, 
WP, 26, 2013101712,   , BEST,   0, 120N, 1429E,  95,  952, TY,  50, NEQ,   55,   60,   45,   40, 1008,  190,  15,   0,  20,   W,   0,    ,   0,   0,  FRANCISCO, D, 
WP, 26, 2013101712,   , BEST,   0, 120N, 1429E,  95,  952, TY,  64, NEQ,   30,   30,   30,   30, 1008,  190,  15,   0,  20,   W,   0,    ,   0,   0,  FRANCISCO, D, 
WP, 26, 2013101715,   , BEST,   0, 126N, 1429E, 105,  944, TY,  34, NEQ,  110,  130,  125,  100, 1008,  190,  15,   0,   0, 
WP, 26, 2013101715,   , BEST,   0, 126N, 1429E, 105,  944, TY,  50, NEQ,   55,   60,   45,   40, 1008,  190,  15,   0,   0, 
WP, 26, 2013101715,   , BEST,   0, 126N, 1429E, 105,  944, TY,  64, NEQ,   30,   30,   30,   30, 1008,  190,  15,   0,   0, 
WP, 26, 2013101718,   , BEST,   0, 132N, 1427E, 110,  941, TY,  34, NEQ,  110,  130,  125,  105, 1006,  210,  12,   0,  15,   W,   0,    ,   0,   0,  FRANCISCO, D, 
WP, 26, 2013101718,   , BEST,   0, 132N, 1427E, 110,  941, TY,  50, NEQ,   55,   60,   60,   55, 1006,  210,  12,   0,  15,   W,   0,    ,   0,   0,  FRANCISCO, D, 
WP, 26, 2013101718,   , BEST,   0, 132N, 1427E, 110,  941, TY,  64, NEQ,   30,   30,   30,   30, 1006,  210,  12,   0,  15,   W,   0,    ,   0,   0,  FRANCISCO, D, 
WP, 26, 2013101800,   , BEST,   0, 138N, 1423E, 115,  937, TY,  34, NEQ,  115,  125,  125,  115, 1007,  225,  12,   0,  15,   W,   0,    ,   0,   0,  FRANCISCO, D, 
WP, 26, 2013101800,   , BEST,   0, 138N, 1423E, 115,  937, TY,  50, NEQ,   55,   60,   60,   55, 1007,  225,  12,   0,  15,   W,   0,    ,   0,   0,  FRANCISCO, D, 
WP, 26, 2013101800,   , BEST,   0, 138N, 1423E, 115,  937, TY,  64, NEQ,   30,   30,   30,   30, 1007,  225,  12,   0,  15,   W,   0,    ,   0,   0,  FRANCISCO, D, 
WP, 26, 2013101806,   , BEST,   0, 142N, 1420E, 125,  929, TY,  34, NEQ,  130,  145,  125,  115, 1007,  225,  12,   0,  15,   W,   0,    ,   0,   0,  FRANCISCO, D, 
WP, 26, 2013101806,   , BEST,   0, 142N, 1420E, 125,  929, TY,  50, NEQ,   80,   85,   75,   75, 1007,  225,  12,   0,  15,   W,   0,    ,   0,   0,  FRANCISCO, D, 
WP, 26, 2013101806,   , BEST,   0, 142N, 1420E, 125,  929, TY,  64, NEQ,   45,   45,   45,   45, 1007,  225,  12,   0,  15,   W,   0,    ,   0,   0,  FRANCISCO, D, 
WP, 26, 2013101809,   , BEST,   0, 147N, 1421E, 125,  929, TY,  34, NEQ,  130,  145,  125,  115, 1007,  225,  12,   0,   0, 
WP, 26, 2013101809,   , BEST,   0, 147N, 1421E, 125,  929, TY,  50, NEQ,   80,   85,   75,   75, 1007,  225,  12,   0,   0, 
WP, 26, 2013101809,   , BEST,   0, 147N, 1421E, 125,  929, TY,  64, NEQ,   45,   45,   45,   45, 1007,  225,  12,   0,   0, 
